datetime,Global CMP22 (vent/cor) [W/m^2],image_url
20241116065000,8.16102,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-31-12-313Z_image.jpg
20241116065100,9.39915,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-32-10-388Z_image.jpg
20241116065200,10.6211,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-33-13-691Z_image.jpg
20241116065300,11.9204,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-34-17-180Z_image.jpg
20241116065400,13.2604,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-35-20-236Z_image.jpg
20241116065500,14.6895,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-36-23-608Z_image.jpg
20241116065600,16.1444,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-37-26-612Z_image.jpg
20241116065700,17.6113,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-38-29-654Z_image.jpg
20241116065800,19.0965,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-39-32-696Z_image.jpg
20241116065900,20.6639,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-40-35-725Z_image.jpg
20241116070000,22.2559,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-41-38-960Z_image.jpg
20241116070100,23.9387,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-42-41-986Z_image.jpg
20241116070200,25.7423,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-43-44-617Z_image.jpg
20241116070300,27.6842,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-44-47-310Z_image.jpg
20241116070400,29.488,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-45-50-376Z_image.jpg
20241116070500,31.3017,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-46-53-204Z_image.jpg
20241116070600,33.2346,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-47-55-781Z_image.jpg
