datetime,Global CMP22 (vent/cor) [W/m^2],Tower Dry Bulb Temp [deg C],Tower RH [%],Avg Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],image_url
20241116065000,8.16102,3.467,32.19,1.55,310.4,805.601,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-31-12-313Z_image.jpg
20241116065100,9.39915,3.576,31.63,1.838,305.5,805.625,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-32-10-388Z_image.jpg
20241116065200,10.6211,3.672,31.94,1.363,314,805.623,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-33-13-691Z_image.jpg
20241116065300,11.9204,3.675,32.11,0.903,302.2,805.626,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-34-17-180Z_image.jpg
20241116065400,13.2604,3.66,32.07,0.877,291.4,805.631,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-35-20-236Z_image.jpg
20241116065500,14.6895,3.656,31.99,1.288,301.7,805.656,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-36-23-608Z_image.jpg
20241116065600,16.1444,3.717,30.6,1.4,295.7,805.66,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-37-26-612Z_image.jpg
20241116065700,17.6113,3.908,30.54,1.363,296.1,805.668,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-38-29-654Z_image.jpg
20241116065800,19.0965,3.993,30.76,0.95,291.8,805.696,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-39-32-696Z_image.jpg
20241116065900,20.6639,4.01,31.52,1.023,285.4,805.715,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-40-35-725Z_image.jpg
20241116070000,22.2559,3.93,31.93,1.7,298.3,805.738,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-41-38-960Z_image.jpg
20241116070100,23.9387,3.844,32.19,1.275,301.6,805.762,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-42-41-986Z_image.jpg
20241116070200,25.7423,3.801,32.29,1.55,295.5,805.783,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-43-44-617Z_image.jpg
20241116070300,27.6842,3.786,32.92,1.075,293.9,805.789,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-44-47-310Z_image.jpg
20241116070400,29.488,3.741,33.13,0.95,300.3,805.795,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-45-50-376Z_image.jpg
20241116070500,31.3017,3.721,32.3,1.003,307.4,805.805,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-46-53-204Z_image.jpg
20241116070600,33.2346,3.774,32.01,1.138,302.1,805.828,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-47-55-781Z_image.jpg
20241116070700,35.2643,3.851,32.16,1.188,304.5,805.855,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-48-58-336Z_image.jpg
20241116070800,37.5257,3.878,32.87,0.437,289.1,805.86,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-50-01-257Z_image.jpg
20241116070900,39.6576,3.877,33.57,0.28,67.07,805.888,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-51-04-291Z_image.jpg
20241116071000,41.9317,3.887,33.64,0,0,805.895,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-52-07-296Z_image.jpg
20241116071100,44.2511,3.921,32.83,0.15,117.1,805.909,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-53-09-866Z_image.jpg
20241116071200,46.7462,3.939,32.49,0,0,805.928,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-54-12-876Z_image.jpg
20241116071300,49.1936,3.958,32.1,0.407,329.3,805.958,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-55-15-486Z_image.jpg
20241116071400,51.6446,3.998,31.26,1.163,306.6,805.975,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-56-18-522Z_image.jpg
20241116071500,54.2067,4.098,31.38,0.735,277.1,805.988,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-57-21-751Z_image.jpg
20241116071600,56.6952,4.174,31.95,1.363,285.9,805.999,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-58-24-389Z_image.jpg
20241116071700,59.3342,4.1,32.83,1.375,287.2,806.002,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T12-59-27-056Z_image.jpg
20241116071800,61.756,3.995,32.67,1.913,295.2,806.016,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-00-30-018Z_image.jpg
20241116071900,64.0388,3.925,33.42,2.063,286.3,806.032,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-01-32-584Z_image.jpg
20241116072000,66.4804,3.808,33.65,2.338,287.6,806.051,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-02-36-099Z_image.jpg
20241116072100,69.2944,3.78,32.65,1.963,300.1,806.076,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-03-39-185Z_image.jpg
20241116072200,72.1972,3.896,32.33,1.925,295.9,806.087,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-04-41-804Z_image.jpg
20241116072300,74.9238,3.981,32.42,1.8,292.6,806.097,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-05-44-396Z_image.jpg
20241116072400,77.6095,3.993,33.2,2.138,289.3,806.108,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-06-47-057Z_image.jpg
20241116072500,80.3052,3.958,33.71,1.9,295.8,806.121,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-07-49-975Z_image.jpg
20241116072600,83.026,3.898,34.13,1.813,287.5,806.139,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-08-52-538Z_image.jpg
20241116072700,85.7476,3.825,33.77,2.15,282.4,806.169,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-09-55-151Z_image.jpg
20241116072800,88.4923,3.863,32.05,2.4,285.6,806.185,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-10-57-804Z_image.jpg
20241116072900,91.2286,3.983,32.92,1.763,284,806.184,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-12-00-461Z_image.jpg
20241116073000,93.9932,4.006,33.23,2.025,287.7,806.184,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-13-03-632Z_image.jpg
20241116073100,96.812,4.026,32.85,1.788,286.5,806.205,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-14-06-256Z_image.jpg
20241116073200,99.7081,4.085,32.94,1.725,290,806.211,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-15-08-917Z_image.jpg
20241116073300,102.649,4.228,31.93,1.65,297,806.216,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-16-11-590Z_image.jpg
20241116073400,105.641,4.413,31.51,1.65,291.1,806.227,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-17-14-211Z_image.jpg
20241116073500,108.502,4.573,31.38,1.875,290.6,806.246,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-18-17-131Z_image.jpg
20241116073600,111.436,4.715,30.79,2.2,287.1,806.253,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-19-19-846Z_image.jpg
20241116073700,114.159,4.804,30.72,2.413,282.1,806.272,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-20-22-488Z_image.jpg
20241116073800,117.076,4.923,29.92,1.9,280.6,806.286,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-21-25-453Z_image.jpg
20241116073900,120.095,5.029,29.86,2.238,279.7,806.284,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-22-29-441Z_image.jpg
20241116074000,122.886,5.08,30.41,2.613,289,806.28,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-23-32-300Z_image.jpg
20241116074100,125.681,5.079,30.46,2.088,285.9,806.274,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-24-35-217Z_image.jpg
20241116074200,128.848,5.05,30.3,2.625,288.9,806.277,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-25-38-039Z_image.jpg
20241116074300,131.956,4.976,30.46,2.088,292,806.294,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-26-41-075Z_image.jpg
20241116074400,134.811,4.866,31.23,1.925,291.5,806.305,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-27-44-044Z_image.jpg
20241116074500,137.617,4.789,31.48,2.075,288.5,806.328,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-28-47-442Z_image.jpg
20241116074600,140.504,4.738,31.71,2.263,287.6,806.332,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-29-50-463Z_image.jpg
20241116074700,143.447,4.674,31.66,2.063,286,806.341,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-30-53-162Z_image.jpg
20241116074800,146.276,4.666,31.16,1.975,288.4,806.361,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-31-55-682Z_image.jpg
20241116074900,149.36,4.7,31.68,2.013,284.2,806.363,https://solar-tracker-images.s3.us-east-2.amazonaws.com/weather_images/2024-11-16T13-32-58-330Z_image.jpg
